id,dom_ok,mltask_ok,causa_provavel
A28US4O1,Nao,Nao,erro de DOMINIO (estagio 1)
A28US5O1,Nao,Nao,erro de DOMINIO (estagio 1)
A28US6O1,Nao,Nao,erro de DOMINIO (estagio 1)
A28US7O1,Nao,Nao,erro de DOMINIO (estagio 1)
A28US8O1,Nao,Nao,erro de DOMINIO (estagio 1)
A28US9O1,Nao,Nao,erro de DOMINIO (estagio 1)
A28US10O1,Nao,Nao,erro de DOMINIO (estagio 1)
A29US1Ge,Nao,Nao,erro de DOMINIO (estagio 1)
A29US2Ge,Nao,Sim,erro de DOMINIO (estagio 1)
A29US3Ge,Nao,Nao,erro de DOMINIO (estagio 1)
A29US4Ge,Sim,Nao,"dominio ok, erro/vazio de ML TASK (estagio 2)"
A29US5Ge,Nao,Sim,erro de DOMINIO (estagio 1)
A29US6Ge,Nao,Nao,erro de DOMINIO (estagio 1)
A29US7Ge,Nao,Sim,erro de DOMINIO (estagio 1)
A29US8Ge,Nao,Nao,erro de DOMINIO (estagio 1)
A29US9Ge,Nao,Nao,erro de DOMINIO (estagio 1)
A29US10Ge,Nao,Nao,erro de DOMINIO (estagio 1)
A29US1Ll,Nao,Nao,erro de DOMINIO (estagio 1)
A29US2Ll,Nao,Nao,erro de DOMINIO (estagio 1)
A29US3Ll,Nao,Nao,erro de DOMINIO (estagio 1)
A29US4Ll,Nao,Sim,erro de DOMINIO (estagio 1)
A29US5Ll,Nao,Sim,erro de DOMINIO (estagio 1)
A29US6Ll,Nao,Nao,erro de DOMINIO (estagio 1)
A29US7Ll,Nao,Nao,erro de DOMINIO (estagio 1)
A29US8Ll,Nao,Sim,erro de DOMINIO (estagio 1)
A29US9Ll,Nao,Nao,erro de DOMINIO (estagio 1)
A29US10Ll,Nao,Nao,erro de DOMINIO (estagio 1)
A29US1O1,Nao,Nao,erro de DOMINIO (estagio 1)
A29US2O1,Nao,Sim,erro de DOMINIO (estagio 1)
A29US3O1,Nao,Sim,erro de DOMINIO (estagio 1)
A29US4O1,Nao,Sim,erro de DOMINIO (estagio 1)
A29US5O1,Nao,Nao,erro de DOMINIO (estagio 1)
A29US6O1,Nao,Sim,erro de DOMINIO (estagio 1)
A29US7O1,Nao,Sim,erro de DOMINIO (estagio 1)
A29US8O1,Nao,Nao,erro de DOMINIO (estagio 1)
A29US9O1,Nao,Nao,erro de DOMINIO (estagio 1)
A29US10O1,Nao,Sim,erro de DOMINIO (estagio 1)
